"row ID","Round","Match","Scores"
"Row3459","1","korea-chinesetaipei","0-0;0-0;1-0;2-0;3-0;3-1;3-2;4-2;4-3;4-4;5-4;5-5;6-5;6-6;7-6;7-7;8-7;8-8;9-8;9-9;9-10;9-11;10-11;11-11;11-12;11-13;12-13;13-13;13-14;14-14;14-15;15-15;15-16;15-17;16-17;17-17;18-17;19-17;20-17;20-18;20-19;21-19"
"Row3460","1","china-japan","0-0;0-0;1-0;1-1;2-1;2-2;2-3;3-3;3-4;4-4;4-5;5-5;6-5;6-6;7-6;7-7;8-7;9-7;9-8;9-9;10-9;10-10;10-11;10-12;11-12;12-12;13-12;14-12;14-13;14-14;15-14;15-15;15-16;16-16;16-17;17-17;18-17;18-18;18-19;19-19;19-20;20-20;21-20;21-21;22-21;23-21"
"Row3461","1","china-japan","0-0;0-0;1-0;2-0;2-1;2-2;3-2;3-3;4-3;4-4;4-5;5-5;5-6;5-7;6-7;6-8;7-8;7-9;8-9;8-10;9-10;10-10;10-11;10-12;11-12;12-12;13-12;13-13;14-13;15-13;15-14;15-15;16-15;16-16;17-16;18-16;19-16;19-17;20-17;21-17"
"Row3462","1","china-egypt","0-0;0-0;1-0;2-0;3-0;4-0;5-0;5-1;5-2;6-2;7-2;8-2;9-2;9-3;10-3;11-3;12-3;12-4;13-4;14-4;14-5;15-5;16-5;17-5;17-6;17-7;18-7;19-7;20-7;20-8;20-9;21-9"
"Row3463","1","china-egypt","0-0;0-0;1-0;2-0;3-0;3-1;4-1;5-1;6-1;6-2;7-2;8-2;9-2;10-2;11-2;12-2;12-3;13-3;13-4;14-4;15-4;16-4;17-4;18-4;19-4;20-4;21-4"
"Row3464","1","japan-chinesetaipei","0-0;0-0;0-1;1-1;1-2;2-2;2-3;3-3;3-4;4-4;4-5;5-5;6-5;7-5;7-6;8-6;8-7;9-7;10-7;10-8;10-9;10-10;10-11;10-12;10-13;11-13;11-14;11-15;11-16;11-17;12-17;12-18;13-18;14-18;15-18;16-18;17-18;18-18;19-18;19-19;19-20;20-20;20-21;21-21;22-21;23-21"
"Row3465","1","japan-chinesetaipei","0-0;0-0;0-1;1-1;1-2;2-2;2-3;3-3;4-3;5-3;6-3;7-3;7-4;8-4;8-5;9-5;9-6;9-7;10-7;10-8;11-8;11-9;12-9;13-9;13-10;14-10;15-10;16-10;17-10;18-10;18-11;19-11;20-11;20-12;20-13;21-13"
"Row3466","1","korea-chinesetaipei","0-0;0-0;0-1;1-1;1-2;2-2;3-2;4-2;4-3;4-4;5-4;5-5;6-5;7-5;7-6;7-7;8-7;8-8;9-8;10-8;11-8;12-8;13-8;14-8;15-8;15-9;16-9;16-10;17-10;17-11;18-11;18-12;19-12;20-12;21-12"
"Row3467","1","korea-chinesetaipei","0-0;0-0;1-0;2-0;2-1;2-2;3-2;3-3;4-3;5-3;5-4;5-5;5-6;5-7;5-8;6-8;7-8;7-9;7-10;7-11;7-12;7-13;8-13;9-13;10-13;10-14;11-14;11-15;11-16;12-16;12-17;13-17;14-17;14-18;15-18;16-18;16-19;17-19;18-19;18-20;19-20;19-21"
"Row3468","1","korea-chinesetaipei","0-0;0-0;1-0;2-0;2-1;2-2;3-2;3-3;4-3;4-4;5-4;6-4;6-5;6-6;6-7;7-7;7-8;7-9;8-9;9-9;10-9;11-9;11-10;12-10;13-10;13-11;13-12;14-12;15-12;15-13;16-13;16-14;17-14;17-15;18-15;18-16;19-16;19-17;20-17;20-18;21-18"
"Row3469","1","korea-russia","0-0;0-0;0-1;0-2;0-3;0-4;1-4;2-4;2-5;3-5;3-6;3-7;4-7;5-7;6-7;7-7;8-7;8-8;9-8;10-8;11-8;12-8;12-9;12-10;13-10;14-10;14-11;14-12;14-13;14-14;14-15;15-15;15-16;16-16;16-17;17-17;18-17;18-18;19-18;20-18;20-19;20-20;21-20;22-20"
"Row3470","1","korea-russia","0-0;0-0;0-1;0-2;0-3;1-3;2-3;2-4;3-4;3-5;3-6;3-7;3-8;3-9;3-10;4-10;4-11;5-11;6-11;7-11;8-11;8-12;9-12;9-13;10-13;11-13;11-14;12-14;12-15;12-16;13-16;14-16;15-16;16-16;17-16;18-16;18-17;19-17;20-17;21-17"
"Row3471","1","indonesia-japan","0-0;0-0;1-0;1-1;1-2;2-2;2-3;3-3;3-4;3-5;3-6;3-7;4-7;5-7;6-7;6-8;7-8;7-9;8-9;8-10;9-10;10-10;10-11;11-11;11-12;12-12;12-13;13-13;13-14;14-14;15-14;16-14;16-15;17-15;17-16;17-17;18-17;19-17;20-17;20-18;20-19;20-20;20-21;21-21;21-22;22-22;23-22;24-22"
"Row3472","1","indonesia-japan","0-0;0-0;0-1;1-1;1-2;1-3;1-4;2-4;3-4;3-5;4-5;5-5;5-6;6-6;6-7;6-8;6-9;6-10;6-11;7-11;8-11;8-12;8-13;8-14;9-14;9-15;10-15;11-15;12-15;13-15;14-15;14-16;15-16;15-17;16-17;17-17;17-18;17-19;17-20;18-20;19-20;20-20;20-21;20-22"
"Row3473","1","indonesia-japan","0-0;0-0;1-0;2-0;3-0;4-0;4-1;4-2;5-2;6-2;7-2;7-3;8-3;8-4;8-5;9-5;9-6;10-6;11-6;11-7;12-7;12-8;13-8;14-8;14-9;15-9;15-10;15-11;16-11;17-11;17-12;17-13;18-13;19-13;20-13;21-13"
"Row3474","1","chinesetaipei-usa","0-0;0-0;0-1;1-1;1-2;1-3;1-4;2-4;2-5;3-5;4-5;5-5;5-6;5-7;6-7;7-7;8-7;8-8;8-9;9-9;9-10;9-11;10-11;10-12;11-12;12-12;12-13;13-13;13-14;14-14;15-14;16-14;16-15;17-15;18-15;18-16;19-16;19-17;20-17;20-18;20-19;20-20;21-20;22-20"
"Row3475","1","chinesetaipei-usa","0-0;0-0;1-0;2-0;2-1;3-1;4-1;4-2;5-2;6-2;6-3;6-4;7-4;7-5;8-5;8-6;9-6;9-7;10-7;10-8;11-8;12-8;13-8;14-8;15-8;16-8;16-9;17-9;17-10;17-11;17-12;17-13;18-13;19-13;19-14;20-14;21-14"
"Row3476","1","japan-usa","0-0;0-0;0-1;1-1;1-2;2-2;2-3;2-4;2-5;3-5;4-5;4-6;5-6;5-7;6-7;7-7;8-7;9-7;9-8;9-9;9-10;10-10;10-11;11-11;12-11;12-12;13-12;13-13;14-13;14-14;14-15;15-15;15-16;16-16;16-17;17-17;17-18;17-19;17-20;18-20;19-20;19-21"
"Row3477","1","japan-usa","0-0;0-0;0-1;0-2;1-2;2-2;3-2;4-2;4-3;5-3;6-3;7-3;8-3;9-3;10-3;11-3;12-3;13-3;14-3;15-3;16-3;17-3;18-3;19-3;20-3;21-3"
"Row3478","1","japan-usa","0-0;0-0;1-0;2-0;2-1;2-2;3-2;3-3;3-4;4-4;5-4;6-4;7-4;8-4;9-4;10-4;10-5;11-5;12-5;13-5;13-6;14-6;14-7;15-7;16-7;17-7;17-8;18-8;19-8;20-8;21-8"
"Row3479","1","japan-germany","0-0;0-0;1-0;2-0;3-0;4-0;5-0;5-1;5-2;6-2;7-2;8-2;9-2;10-2;11-2;12-2;12-3;13-3;14-3;14-4;15-4;15-5;15-6;15-7;16-7;16-8;17-8;18-8;18-9;19-9;19-10;19-11;20-11;20-12;20-13;21-13"
"Row3480","1","japan-germany","0-0;0-0;0-1;1-1;2-1;3-1;3-2;4-2;4-3;4-4;4-5;4-6;4-7;5-7;5-8;6-8;7-8;8-8;9-8;9-9;9-10;10-10;11-10;12-10;13-10;14-10;15-10;15-11;15-12;16-12;17-12;18-12;19-12;20-12;20-13;21-13"
"Row3481","1","denmark-hongkong","0-0;0-0;1-0;1-1;2-1;3-1;3-2;4-2;5-2;5-3;6-3;6-4;7-4;8-4;8-5;8-6;9-6;9-7;10-7;11-7;11-8;11-9;11-10;12-10;12-11;13-11;13-12;13-13;14-13;15-13;15-14;16-14;17-14;17-15;17-16;17-17;18-17;18-18;18-19;18-20;18-21"
"Row3482","1","denmark-hongkong","0-0;0-0;1-0;2-0;2-1;3-1;4-1;5-1;5-2;6-2;7-2;8-2;8-3;8-4;9-4;9-5;10-5;10-6;11-6;12-6;13-6;14-6;14-7;14-8;15-8;16-8;16-9;16-10;17-10;18-10;18-11;19-11;20-11;21-11"
"Row3483","1","denmark-hongkong","0-0;0-0;1-0;1-1;1-2;2-2;2-3;3-3;3-4;3-5;4-5;5-5;6-5;6-6;7-6;7-7;8-7;8-8;9-8;9-9;9-10;10-10;10-11;11-11;11-12;12-12;13-12;13-13;13-14;14-14;15-14;16-14;16-15;16-16;16-17;17-17;17-18;18-18;19-18;20-18;21-18"
"Row3484","1","thailand-china","0-0;0-0;1-0;2-0;2-1;3-1;3-2;4-2;4-3;5-3;6-3;7-3;7-4;7-5;7-6;8-6;9-6;9-7;9-8;9-9;10-9;10-10;11-10;11-11;11-12;12-12;13-12;13-13;14-13;14-14;15-14;16-14;16-15;16-16;16-17;16-18;17-18;18-18;19-18;20-18;20-19;21-19"
"Row3485","1","thailand-china","0-0;0-0;1-0;2-0;2-1;2-2;2-3;3-3;4-3;5-3;5-4;6-4;7-4;8-4;8-5;8-6;9-6;9-7;9-8;10-8;11-8;12-8;12-9;13-9;13-10;13-11;14-11;14-12;15-12;15-13;16-13;17-13;17-14;17-15;17-16;17-17;18-17;19-17;20-17;20-18;21-18"
"Row3486","1","canada-usa","0-0;0-0;1-0;1-1;2-1;3-1;4-1;4-2;5-2;6-2;7-2;8-2;8-3;9-3;9-4;10-4;10-5;11-5;11-6;12-6;13-6;14-6;14-7;15-7;15-8;16-8;16-9;16-10;17-10;17-11;18-11;19-11;20-11;21-11"
"Row3487","1","canada-usa","0-0;0-0;1-0;2-0;2-1;2-2;2-3;3-3;4-3;5-3;5-4;5-5;6-5;6-6;6-7;7-7;7-8;7-9;8-9;9-9;9-10;10-10;10-11;11-11;11-12;12-12;13-12;14-12;14-13;15-13;16-13;16-14;17-14;17-15;18-15;19-15;19-16;20-16;21-16"
"Row3488","1","spain-indonesia","0-0;0-0;1-0;1-1;1-2;2-2;2-3;2-4;3-4;4-4;5-4;6-4;7-4;8-4;8-5;9-5;9-6;10-6;11-6;11-7;11-8;11-9;12-9;13-9;14-9;15-9;16-9;17-9;18-9;18-10;19-10;20-10;21-10"
"Row3489","1","spain-indonesia","0-0;0-0;0-1;1-1;2-1;3-1;4-1;4-2;5-2;5-3;6-3;7-3;8-3;8-4;9-4;9-5;9-6;10-6;11-6;11-7;12-7;13-7;14-7;14-8;15-8;16-8;17-8;18-8;18-9;18-10;19-10;20-10;21-10"
"Row3490","1","china-indonesia","0-0;0-0;1-0;1-1;2-1;2-2;3-2;3-3;4-3;5-3;5-4;6-4;7-4;8-4;8-5;9-5;10-5;11-5;12-5;13-5;14-5;14-6;15-6;15-7;16-7;16-8;17-8;17-9;17-10;18-10;19-10;19-11;20-11;20-12;21-12"
"Row3491","1","china-indonesia","0-0;0-0;0-1;1-1;1-2;1-3;2-3;2-4;2-5;3-5;3-6;4-6;4-7;5-7;5-8;5-9;6-9;6-10;6-11;7-11;7-12;8-12;9-12;9-13;10-13;11-13;11-14;11-15;11-16;12-16;12-17;12-18;12-19;12-20;13-20;14-20;15-20;15-21"
"Row3492","1","denmark-usa","0-0;0-0;1-0;1-1;2-1;3-1;4-1;5-1;5-2;6-2;7-2;8-2;9-2;9-3;9-4;9-5;10-5;11-5;12-5;12-6;13-6;13-7;14-7;15-7;15-8;16-8;17-8;17-9;18-9;19-9;19-10;20-10;21-10"
"Row3493","1","denmark-usa","0-0;0-0;1-0;1-1;1-2;2-2;2-3;2-4;3-4;4-4;5-4;6-4;7-4;7-5;8-5;8-6;8-7;8-8;9-8;10-8;10-9;11-9;12-9;13-9;13-10;13-11;14-11;15-11;16-11;16-12;17-12;18-12;18-13;18-14;19-14;20-14;20-15;20-16;21-16"
"Row3494","1","china-chinesetaipei","0-0;0-0;1-0;2-0;3-0;3-1;4-1;4-2;5-2;6-2;6-3;7-3;8-3;8-4;9-4;9-5;9-6;9-7;10-7;11-7;12-7;13-7;14-7;14-8;14-9;14-10;15-10;16-10;16-11;17-11;18-11;18-12;19-12;19-13;19-14;19-15;20-15;21-15"
"Row3495","1","china-chinesetaipei","0-0;0-0;1-0;2-0;3-0;4-0;4-1;4-2;5-2;6-2;7-2;8-2;8-3;9-3;9-4;10-4;10-5;11-5;12-5;13-5;13-6;14-6;15-6;16-6;16-7;17-7;18-7;18-8;19-8;20-8;21-8"
"Row3496","1","japan-india","0-0;0-0;1-0;2-0;3-0;4-0;5-0;6-0;6-1;7-1;7-2;8-2;8-3;8-4;9-4;9-5;10-5;11-5;11-6;11-7;12-7;13-7;13-8;13-9;13-10;14-10;15-10;16-10;17-10;17-11;18-11;19-11;19-12;19-13;20-13;20-14;20-15;20-16;21-16"
"Row3497","1","japan-india","0-0;0-0;1-0;2-0;2-1;2-2;2-3;3-3;3-4;3-5;4-5;5-5;5-6;6-6;7-6;8-6;9-6;10-6;11-6;11-7;12-7;13-7;14-7;15-7;16-7;17-7;17-8;18-8;18-9;18-10;19-10;20-10;20-11;21-11"
"Row3498","1","china-thailand","0-0;0-0;0-1;0-2;1-2;2-2;3-2;4-2;4-3;5-3;6-3;7-3;8-3;9-3;10-3;11-3;11-4;12-4;13-4;14-4;15-4;16-4;16-5;17-5;18-5;18-6;19-6;19-7;19-8;20-8;21-8"
"Row3499","1","china-thailand","0-0;0-0;1-0;2-0;2-1;3-1;3-2;3-3;3-4;3-5;4-5;4-6;4-7;4-8;4-9;5-9;5-10;5-11;6-11;6-12;6-13;7-13;7-14;8-14;9-14;10-14;10-15;10-16;10-17;10-18;10-19;11-19;12-19;12-20;13-20;13-21"
"Row3500","1","china-thailand","0-0;0-0;1-0;1-1;1-2;2-2;3-2;3-3;4-3;5-3;6-3;7-3;7-4;8-4;9-4;9-5;10-5;10-6;11-6;12-6;12-7;13-7;13-8;14-8;15-8;15-9;16-9;17-9;17-10;18-10;19-10;20-10;20-11;20-12;21-12"
"Row3501","1","china-korea","0-0;0-0;1-0;2-0;2-1;2-2;3-2;4-2;4-3;5-3;5-4;6-4;7-4;7-5;7-6;7-7;7-8;8-8;8-9;9-9;10-9;11-9;12-9;12-10;13-10;14-10;15-10;15-11;15-12;15-13;16-13;16-14;17-14;17-15;18-15;19-15;20-15;20-16;21-16"
"Row3502","1","china-korea","0-0;0-0;1-0;1-1;1-2;2-2;3-2;4-2;4-3;5-3;6-3;7-3;7-4;8-4;8-5;8-6;8-7;8-8;9-8;9-9;9-10;10-10;10-11;11-11;12-11;13-11;14-11;14-12;14-13;15-13;15-14;16-14;17-14;17-15;18-15;19-15;20-15;21-15"
"Row3503","1","england-korea","0-0;0-0;0-1;0-2;1-2;2-2;2-3;2-4;2-5;3-5;4-5;5-5;6-5;6-6;7-6;7-7;7-8;7-9;8-9;9-9;10-9;11-9;12-9;12-10;12-11;12-12;12-13;12-14;13-14;14-14;15-14;16-14;16-15;17-15;17-16;18-16;19-16;19-17;19-18;19-19;20-19;20-20;21-20;22-20"
"Row3504","1","england-korea","0-0;0-0;0-1;0-2;1-2;2-2;2-3;2-4;2-5;2-6;2-7;3-7;3-8;4-8;4-9;4-10;4-11;4-12;5-12;6-12;7-12;8-12;9-12;9-13;9-14;10-14;11-14;12-14;12-15;12-16;13-16;13-17;14-17;14-18;15-18;15-19;16-19;17-19;17-20;17-21"
"Row3505","1","england-korea","0-0;0-0;0-1;0-2;1-2;1-3;2-3;2-4;3-4;4-4;5-4;5-5;6-5;6-6;7-6;8-6;9-6;9-7;10-7;10-8;10-9;10-10;11-10;11-11;12-11;13-11;14-11;15-11;15-12;15-13;16-13;16-14;17-14;18-14;18-15;18-16;18-17;19-17;20-17;21-17"
"Row3506","1","hongkong-japan","0-0;0-0;0-1;1-1;1-2;2-2;2-3;3-3;3-4;4-4;4-5;4-6;5-6;5-7;6-7;6-8;6-9;7-9;8-9;9-9;10-9;10-10;11-10;12-10;12-11;12-12;12-13;13-13;13-14;13-15;14-15;15-15;15-16;15-17;16-17;16-18;16-19;17-19;18-19;19-19;20-19;20-20;20-21;21-21;22-21;23-21"
"Row3507","1","hongkong-japan","0-0;0-0;0-1;1-1;2-1;2-2;2-3;3-3;4-3;5-3;6-3;6-4;7-4;7-5;7-6;8-6;8-7;9-7;10-7;10-8;11-8;12-8;12-9;13-9;14-9;15-9;16-9;16-10;17-10;17-11;18-11;19-11;20-11;21-11"
"Row3508","1","denmark-thailand","0-0;0-0;1-0;1-1;2-1;2-2;3-2;3-3;3-4;4-4;4-5;5-5;5-6;6-6;6-7;7-7;7-8;8-8;8-9;9-9;9-10;10-10;11-10;11-11;12-11;13-11;13-12;13-13;14-13;14-14;15-14;15-15;16-15;16-16;17-16;18-16;18-17;19-17;19-18;20-18;21-18"
"Row3509","1","denmark-thailand","0-0;0-0;0-1;0-2;1-2;1-3;2-3;2-4;3-4;4-4;4-5;5-5;6-5;7-5;8-5;8-6;8-7;8-8;9-8;9-9;9-10;9-11;10-11;10-12;10-13;11-13;12-13;13-13;13-14;14-14;15-14;16-14;17-14;17-15;17-16;18-16;18-17;19-17;19-18;19-19;20-19;21-19"
"Row3510","1","china-chinesetaipei","0-0;0-0;0-1;0-2;1-2;1-3;2-3;2-4;3-4;3-5;3-6;3-7;3-8;4-8;5-8;6-8;6-9;7-9;7-10;8-10;9-10;9-11;10-11;11-11;12-11;12-12;12-13;13-13;14-13;15-13;16-13;17-13;17-14;18-14;18-15;18-16;18-17;18-18;18-19;18-20;18-21"
"Row3511","1","china-chinesetaipei","0-0;0-0;0-1;1-1;2-1;2-2;3-2;4-2;5-2;6-2;7-2;8-2;9-2;9-3;10-3;10-4;11-4;12-4;13-4;14-4;14-5;14-6;15-6;16-6;16-7;17-7;18-7;18-8;19-8;19-9;20-9;21-9"
"Row3512","1","china-chinesetaipei","0-0;0-0;0-1;1-1;2-1;2-2;3-2;4-2;4-3;4-4;4-5;5-5;6-5;7-5;7-6;8-6;9-6;10-6;11-6;11-7;11-8;11-9;11-10;11-11;12-11;13-11;13-12;13-13;13-14;13-15;13-16;13-17;14-17;15-17;16-17;17-17;17-18;17-19;18-19;19-19;20-19;21-19"
"Row3513","1","malaysia-chinesetaipei","0-0;0-0;1-0;2-0;3-0;4-0;4-1;4-2;5-2;5-3;6-3;7-3;8-3;8-4;9-4;9-5;9-6;9-7;10-7;11-7;11-8;12-8;13-8;14-8;14-9;14-10;14-11;14-12;14-13;14-14;14-15;15-15;15-16;16-16;16-17;17-17;18-17;18-18;19-18;19-19;19-20;20-20;21-20;22-20"
"Row3514","1","india-russia","0-0;0-0;1-0;1-1;2-1;2-2;3-2;4-2;5-2;5-3;6-3;6-4;7-4;8-4;9-4;10-4;10-5;11-5;11-6;11-7;12-7;13-7;13-8;14-8;15-8;15-9;15-10;15-11;16-11;17-11;17-12;17-13;18-13;19-13;20-13;20-14;21-14"
"Row3515","1","india-russia","0-0;0-0;0-1;1-1;2-1;3-1;4-1;4-2;4-3;4-4;5-4;5-5;6-5;7-5;8-5;9-5;10-5;10-6;11-6;12-6;13-6;13-7;14-7;15-7;16-7;17-7;18-7;19-7;19-8;20-8;20-9;21-9"
"Row3516","1","korea-japan","0-0;0-0;0-1;1-1;2-1;2-2;3-2;3-3;4-3;5-3;6-3;6-4;7-4;8-4;9-4;10-4;11-4;12-4;12-5;13-5;14-5;15-5;16-5;17-5;17-6;18-6;19-6;20-6;20-7;20-8;21-8"
"Row3517","1","korea-japan","0-0;0-0;0-1;1-1;1-2;1-3;1-4;1-5;1-6;1-7;2-7;3-7;3-8;3-9;4-9;5-9;6-9;7-9;7-10;8-10;8-11;9-11;10-11;10-12;11-12;12-12;12-13;12-14;12-15;13-15;13-16;13-17;14-17;15-17;16-17;17-17;17-18;18-18;19-18;19-19;20-19;21-19"
"Row3518","1","china-india","0-0;0-0;0-1;1-1;1-2;2-2;2-3;3-3;4-3;5-3;5-4;5-5;5-6;6-6;7-6;8-6;8-7;9-7;10-7;11-7;11-8;12-8;12-9;12-10;13-10;14-10;15-10;15-11;16-11;17-11;18-11;18-12;18-13;19-13;19-14;20-14;21-14"
"Row3519","1","china-india","0-0;0-0;1-0;2-0;3-0;3-1;4-1;4-2;4-3;4-4;5-4;5-5;6-5;7-5;8-5;8-6;8-7;9-7;9-8;9-9;10-9;10-10;10-11;11-11;11-12;12-12;12-13;12-14;13-14;13-15;13-16;14-16;14-17;15-17;15-18;15-19;15-20;16-20;17-20;17-21"
"Row3520","1","china-india","0-0;0-0;1-0;1-1;1-2;1-3;2-3;2-4;2-5;2-6;2-7;2-8;3-8;4-8;4-9;5-9;6-9;6-10;7-10;8-10;9-10;9-11;9-12;10-12;11-12;12-12;12-13;12-14;13-14;14-14;15-14;16-14;17-14;18-14;18-15;19-15;19-16;19-17;19-18;19-19;20-19;21-19"
"Row3521","1","france-china","0-0;0-0;0-1;0-2;1-2;2-2;2-3;2-4;3-4;4-4;4-5;4-6;4-7;4-8;4-9;4-10;5-10;6-10;6-11;7-11;8-11;9-11;10-11;10-12;10-13;10-14;10-15;10-16;10-17;11-17;12-17;13-17;13-18;13-19;13-20;13-21"
"Row3522","1","france-china","0-0;0-0;1-0;1-1;1-2;2-2;3-2;4-2;4-3;4-4;5-4;6-4;7-4;7-5;8-5;9-5;10-5;10-6;11-6;11-7;11-8;11-9;11-10;12-10;13-10;14-10;14-11;15-11;16-11;16-12;16-13;16-14;16-15;17-15;18-15;19-15;20-15;21-15"
"Row3523","1","france-china","0-0;0-0;1-0;1-1;2-1;3-1;3-2;3-3;4-3;5-3;5-4;6-4;6-5;6-6;6-7;6-8;6-9;6-10;7-10;7-11;8-11;9-11;10-11;11-11;12-11;12-12;12-13;12-14;13-14;14-14;14-15;14-16;14-17;15-17;16-17;17-17;18-17;18-18;19-18;20-18;21-18"
"Row3524","1","china-germany","0-0;0-0;1-0;2-0;2-1;2-2;2-3;2-4;2-5;3-5;4-5;5-5;6-5;7-5;8-5;8-6;8-7;9-7;9-8;9-9;10-9;10-10;11-10;12-10;12-11;13-11;14-11;14-12;15-12;15-13;15-14;16-14;16-15;17-15;17-16;18-16;18-17;19-17;19-18;19-19;20-19;20-20;20-21;21-21;22-21;23-21"
"Row3525","1","china-germany","0-0;0-0;1-0;2-0;2-1;3-1;3-2;4-2;5-2;5-3;5-4;6-4;6-5;6-6;7-6;7-7;8-7;9-7;10-7;10-8;10-9;10-10;10-11;10-12;11-12;11-13;11-14;11-15;11-16;12-16;12-17;12-18;12-19;13-19;14-19;14-20;14-21"
"Row3526","1","china-germany","0-0;0-0;0-1;1-1;1-2;2-2;2-3;2-4;3-4;4-4;4-5;4-6;5-6;5-7;5-8;6-8;6-9;7-9;7-10;8-10;8-11;9-11;10-11;11-11;11-12;11-13;12-13;12-14;13-14;14-14;14-15;15-15;16-15;17-15;17-16;17-17;17-18;17-19;18-19;18-20;19-20;20-20;21-20;22-20"
"Row3527","1","korea-malaysia","0-0;0-0;1-0;2-0;3-0;3-1;3-2;3-3;4-3;5-3;5-4;5-5;6-5;7-5;8-5;9-5;10-5;11-5;11-6;12-6;13-6;13-7;14-7;14-8;14-9;14-10;15-10;15-11;15-12;16-12;17-12;17-13;17-14;18-14;19-14;20-14;21-14"
"Row3528","1","korea-malaysia","0-0;0-0;1-0;1-1;1-2;1-3;2-3;2-4;3-4;4-4;4-5;4-6;5-6;6-6;6-7;7-7;8-7;9-7;9-8;9-9;9-10;9-11;10-11;11-11;11-12;11-13;12-13;13-13;14-13;15-13;16-13;17-13;17-14;18-14;19-14;20-14;20-15;20-16;21-16"
"Row3529","1","malaysia-netherlands","0-0;0-0;0-1;1-1;2-1;2-2;3-2;4-2;5-2;5-3;5-4;5-5;6-5;6-6;6-7;7-7;8-7;9-7;10-7;10-8;11-8;11-9;12-9;13-9;13-10;14-10;15-10;15-11;15-12;16-12;16-13;17-13;17-14;17-15;17-16;18-16;19-16;20-16;21-16"
"Row3530","1","malaysia-netherlands","0-0;0-0;1-0;1-1;1-2;2-2;2-3;3-3;3-4;4-4;4-5;5-5;6-5;6-6;7-6;8-6;9-6;9-7;9-8;10-8;11-8;12-8;13-8;14-8;15-8;16-8;17-8;18-8;19-8;19-9;19-10;20-10;20-11;21-11"
"Row3531","1","hongkong-usa","0-0;0-0;1-0;1-1;2-1;3-1;4-1;4-2;4-3;5-3;6-3;6-4;6-5;6-6;6-7;6-8;7-8;8-8;8-9;9-9;9-10;9-11;9-12;9-13;10-13;11-13;11-14;12-14;13-14;13-15;14-15;15-15;16-15;17-15;18-15;19-15;19-16;19-17;19-18;20-18;20-19;21-19"
"Row3532","1","hongkong-usa","0-0;0-0;1-0;2-0;3-0;3-1;4-1;5-1;6-1;7-1;7-2;7-3;8-3;8-4;9-4;9-5;10-5;10-6;11-6;11-7;12-7;13-7;14-7;15-7;15-8;16-8;17-8;18-8;19-8;19-9;20-9;21-9"
"Row3533","2","denmark-china","0-0;0-0;1-0;2-0;3-0;4-0;5-0;5-1;6-1;7-1;7-2;7-3;8-3;9-3;9-4;9-5;10-5;11-5;12-5;13-5;14-5;14-6;14-7;14-8;15-8;15-9;16-9;16-10;17-10;17-11;17-12;18-12;19-12;20-12;20-13;20-14;21-14"
"Row3534","2","denmark-china","0-0;0-0;0-1;1-1;1-2;1-3;2-3;2-4;3-4;4-4;4-5;5-5;6-5;6-6;7-6;7-7;8-7;9-7;10-7;10-8;11-8;12-8;12-9;12-10;13-10;13-11;14-11;15-11;16-11;16-12;16-13;17-13;17-14;17-15;17-16;18-16;18-17;19-17;20-17;21-17"
"Row3535","2","china-hongkong","0-0;0-0;1-0;1-1;2-1;2-2;3-2;4-2;4-3;5-3;6-3;7-3;7-4;7-5;7-6;8-6;9-6;9-7;10-7;10-8;10-9;10-10;11-10;12-10;13-10;14-10;15-10;16-10;17-10;17-11;17-12;18-12;18-13;18-14;18-15;19-15;19-16;20-16;21-16"
"Row3536","2","china-hongkong","0-0;0-0;1-0;2-0;2-1;3-1;4-1;4-2;4-3;5-3;5-4;6-4;6-5;7-5;8-5;9-5;10-5;11-5;11-6;12-6;13-6;13-7;14-7;15-7;15-8;16-8;16-9;17-9;17-10;17-11;18-11;18-12;18-13;18-14;19-14;20-14;21-14"
"Row3537","2","china-chinesetaipei","0-0;0-0;0-1;0-2;0-3;1-3;1-4;2-4;2-5;3-5;4-5;5-5;5-6;6-6;6-7;6-8;6-9;7-9;8-9;9-9;10-9;10-10;10-11;11-11;12-11;13-11;13-12;14-12;14-13;14-14;15-14;15-15;16-15;17-15;18-15;18-16;19-16;19-17;19-18;20-18;21-18"
"Row3538","2","china-chinesetaipei","0-0;0-0;0-1;1-1;2-1;2-2;2-3;2-4;3-4;4-4;4-5;4-6;4-7;5-7;6-7;6-8;6-9;7-9;7-10;8-10;9-10;9-11;10-11;11-11;12-11;13-11;14-11;15-11;16-11;16-12;17-12;18-12;19-12;19-13;19-14;20-14;21-14"
"Row3539","2","malaysia-chinesetaipei","0-0;0-0;1-0;1-1;2-1;2-2;3-2;4-2;5-2;5-3;6-3;6-4;7-4;8-4;9-4;10-4;11-4;12-4;12-5;13-5;13-6;14-6;15-6;16-6;16-7;17-7;17-8;17-9;18-9;19-9;20-9;21-9"
"Row3540","2","malaysia-chinesetaipei","0-0;0-0;0-1;1-1;1-2;1-3;2-3;3-3;3-4;4-4;4-5;5-5;6-5;6-6;6-7;6-8;7-8;7-9;8-9;9-9;10-9;10-10;10-11;10-12;10-13;10-14;11-14;11-15;12-15;12-16;12-17;13-17;14-17;14-18;14-19;14-20;15-20;15-21"
